3	70
00:44:06	1066558.6	7
00:44:10	1066558.6	7
00:44:15	1066558.6	5
00:44:19	1066558.6	5
00:44:23	1066558.7	27
00:44:28	1066558.7	27
00:44:32	1066558.7	18
00:44:37	1066558.6	9
00:44:41	1066558.6	18
00:44:45	1066558.5	37
00:44:50	1066558.5	36
00:44:54	1066558.6	9
00:44:59	1066558.5	800
00:45:03	1066558.5	3
00:45:08	1066558.5	333
00:45:12	1066558.5	16
00:45:16	1066558.5	10
00:45:21	1066558.5	252
00:45:25	1066558.5	346
00:45:30	1066558.5	235
00:45:34	1066558.5	135
00:45:38	1066558.5	156
00:45:43	1066558.5	323
00:45:47	1066558.5	356
00:45:52	1066558.5	367
00:45:56	1066558.6	324
00:46:00	1066558.6	136
00:46:05	1066558.6	125
00:46:09	1066558.6	265
00:46:14	1066558.5	256
00:46:18	1066558.5	45
00:46:22	1066558.5	577
00:46:27	1066558.5	366
00:46:31	1066558.5	25
00:46:36	1066558.5	255
00:46:40	1066558.5	256
00:46:44	1066558.5	266
00:46:49	1066558.5	267
00:46:53	1066558.5	267
00:46:58	1066558.5	68
00:47:02	1066558.5	48
00:47:06	1066558.5	388
00:47:11	1066558.6	789
00:47:15	1066558.6	923
00:47:20	1066558.6	923
00:47:24	1066558.6	767
00:47:29	1066558.6	36
00:47:33	1066558.6	189
00:47:37	1066558.6	378
00:47:42	1066558.6	789
00:47:46	1066558.6	356
00:47:51	1066558.6	789
00:47:55	1066558.6	157
00:47:59	1066558.6	167
00:48:04	1066558.6	545
00:48:08	1066558.6	745
00:48:13	1066558.6	734
00:48:17	1066558.6	778
00:48:21	1066558.6	589
00:48:26	1066558.6	305
00:48:30	1066558.7	355
00:48:35	1066558.7	355
00:48:39	1066558.7	566
00:48:43	1066558.7	577
00:48:48	1066558.7	389
00:48:52	1066558.7	100
00:48:57	1066558.7	322
00:49:01	1066558.7	333
00:49:05	1066558.7	744
00:49:10	1066558.7	955
00:49:14	1066558.7	966
00:49:19	1066558.7	577
00:49:23	1066558.7	588
00:49:27	1066558.7	388
00:49:32	1066558.8	199
00:49:36	1066558.8	399
00:49:41	1066558.7	345
00:49:45	1066558.7	455
00:49:50	1066558.6	21
00:49:54	1066558.6	32
00:49:58	1066558.5	39
00:50:03	1066558.5	39
00:50:07	1066558.4	41
00:50:12	1066558.4	39
00:50:16	1066558.4	30
00:50:20	1066558.4	19
00:50:25	1066558.4	5
00:50:29	1066558.5	14
00:50:34	1066558.8	73
00:50:38	1066559.6	207
00:50:42	1066560.4	360
00:50:47	1066561.3	500
00:50:51	1066562.0	633
00:50:56	1066562.8	653
00:51:00	1066563.4	626
00:51:04	1066564.0	576
00:51:09	1066564.6	541
00:51:13	1066565.3	514
00:51:18	1066565.8	484
00:51:22	1066566.3	469
